"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"VACPRIRES","6","Occupancy and Tenure","2","Seasonal and URE Characteristics","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating this was a previous usual residence","HOUSEHOLD","Character","JVACPRIRES","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Which of the following reasons is why the owner owns this unit? (Mark all that apply)","WHYOWN","None","(INTSTATUS = '2' and VACANCY <> '11') or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10'))","Starting in 2015, these answer categories for WHYOWN were randomized in the Instrument.",
"VACREC","7","Occupancy and Tenure","2","Seasonal and URE Characteristics","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating this unit is used for recreational purposes","HOUSEHOLD","Character","JVACREC","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Which of the following reasons is why the owner owns this unit? (Mark all that apply)","WHYOWN","None","(INTSTATUS = '2' and VACANCY <> '11') or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10'))","Starting in 2015, these answer categories for WHYOWN were randomized in the Instrument.",
"VACRESDAYS","8","Occupancy and Tenure","2","Seasonal and URE Characteristics","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of nights owner spends at this unit","HOUSEHOLD","Character","JVACRESDAYS","Coming soon","1: 0 to 2 nights||2: 3 to 7 nights||3: 8 or more nights||M or -9: Not reported||N or -6: Not applicable","In the past year, how many nights did the owner(s) stay in this unit?","SNITEV","None","(INTSTATUS = '2' and VACANCY in ('01' '02' '03' '04' '05' '06' '07' '08' '09' '10' 'M')) or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10'))","",
"VACRNTDAYS","9","Occupancy and Tenure","2","Seasonal and URE Characteristics","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of nights this unit was rented out","HOUSEHOLD","Character","JVACRNTDAYS","Coming soon","1: 0 to 2 nights||2: 3 to 7 nights||3: 8 or more nights||M or -9: Not reported||N or -6: Not applicable","In the past year, how many nights was this unit rented out?","SRENTV","None","INTSTATUS in ('2' '3') and VACRESDAYS in ('1' '2' '3' 'M')","",
"VACSELL","10","Occupancy and Tenure","2","Seasonal and URE Characteristics","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating the owner wishes to sell this unit, but has not been able to do so","HOUSEHOLD","Character","JVACSELL","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Which of the following reasons is why the owner owns this unit? (Mark all that apply)","WHYOWN","None","(INTSTATUS = '2' and VACANCY <> '11') or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10'))","Starting in 2015, these answer categories for WHYOWN were randomized in the Instrument.",
"CONDO","2","Occupancy and Tenure","2","Tenure","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is a condominium","HOUSEHOLD","Character","JCONDO","Coming soon","1: Yes||2: No","Is this unit part of a condominium?","CONDO1","None","INTSTATUS in ('1' '2' '3')","",
"HOA","4","Occupancy and Tenure","2","Tenure","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is part of a homeowner's association","HOUSEHOLD","Character","JHOA","Coming soon","1: Yes||2: No||M or -9: Not reported","Is this unit part of a homeowner association?","HOMEASC","None","INTSTATUS in ('1' '2' '3')","",
"HOA","4","Occupancy and Tenure","2","Tenure","3","2019 National, 2019 Metro","PUF","Flag indicating unit is part of a homeowner's association","HOUSEHOLD","Character","JHOA","Coming soon","1: Yes||2: No||M or -9: Not reported","Is this unit part of a homeowner association?","HOMEASC","None","INTSTATUS in ('1' '2' '3') and TENURE = '1'","",
"MGRONSITE","5","Occupancy and Tenure","2","Tenure","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating there is an owner or property manager onsite","HOUSEHOLD","Character","JMGRONSITE","Coming soon","1: 2 to 4 unit building has owner on-site||2: 2 to 4 unit building has manager on-site||3: 5 or more unit building has owner and / or manager on-site||4: No owner / manager on-site||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3') and BLD in ('04' '05' '06' '07' '08' '09') and (TENURE in ('2' '3') or VACANCY in ('01' '02' '04'))","MGRONSITE is determined using OWNHEREQA (Does the owner of the building live in one of the units in this building?), OWNHEREQB (Does the property manager live in one of the units in this building?), and OWNHEREQC (Does the owner or property manger live in one of the units in this building?). OWNHEREQA and OWNHEREQB are asked of multiunit buildings with 2-4 units. OWNHEREQC is asked of buildings with 5 or more units.",
"OWNLOT","6","Occupancy and Tenure","2","Tenure","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating owner owns the lot","HOUSEHOLD","Character","JOWNLOT","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","None","MHMOVE <> '1' and COOP = '2' and CONDO = '2' and (BLD = '01' and (TENURE in ('1' '2' '3') or VACANCY in ('01' '02' '03' '04' '05')) or (TENURE = '1' or VACANCY in ('03' '05')))","OWNLOT is determined by using information from multiple items, including OWNLOT1, OWNLOT2 and INCS2. OWNLOT in 2013 and earlier was only provided for mobile homes. However, there are other situations where the unit, but not the land, is owned. This sometimes occurs on university property where the unit itself is owned, but the land is rented.",
"TENURE","7","Occupancy and Tenure","2","Tenure","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Owner or renter status of unit","HOUSEHOLD","Character","JTENURE","Coming soon","1: Owned or being bought by someone in your household||2: Rented||3: Occupied without payment of rent||N or -6: Not applicable","Is this unit (1) Owned or being bought by someone in your household?, (2) Rented?, or (3) Occupied without payment of rent?","TENURE","None","INTSTATUS = '1'","",
"MHMOVE","1","Occupancy and Tenure","2","Vacancy Characteristics","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Flag indicating mobile home to be moved","HOUSEHOLD","Character","JMHMOVE","Coming soon","1: Mobile home moveable||2: Mobile home not moveable||M or -9: Not reported||N or -6: Not applicable","Is the mobile home to be moved?","MHSTAY","None","INTSTATUS in ('2' '3') and VACANCY in ('03' '05') and BLD = '01'","MHMOVE (2015 and later) and MHSTAY (pre-2015) contain the same information, but presented differently.",
"MHMOVE","1","Occupancy and Tenure","2","Vacancy Characteristics","4","2015 National, 2015 Metro","PUF","Flag indicating mobile home to be moved","HOUSEHOLD","Character","JMHMOVE","Coming soon","1: Mobile home moveable||2: Mobile home not moveable||M or -9: Not reported||N or -6: Not applicable","Is the mobile home to remain where it is, or is it to be moved?","MHSTAY","None","INTSTATUS in ('2' '3') and VACANCY in ('03' '05') and BLD = '01'","MHMOVE (2015 and later) and MHSTAY (pre-2015) contain the same information, but presented differently.",
"MONLSTOCC","2","Occupancy and Tenure","2","Vacancy Characteristics","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of months since this unit has been occupied as permanent home","HOUSEHOLD","Numeric","JMONLSTOCC","Coming soon","0: Less than 1 month||1 : 24: 1 to 24 months||25: More than 2 years||26: Never occupied as a permanent home||M or -9: Not reported||N or -6: Not applicable","How many months has it been since this unit was occupied as a permanent home?","MOPERM","None","INTSTATUS in ('2' '3')","",
"TIMESHARE","3","Occupancy and Tenure","2","Vacancy Characteristics","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating ownership of unit time shared","HOUSEHOLD","Character","JTIMESHARE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Is the ownership of this housing unit time-shared?","TIMSHR","None","INTSTATUS in ('2' '3')","",
"VACANCY","4","Occupancy and Tenure","2","Vacancy Characteristics","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Vacancy status","HOUSEHOLD","Character","JVACANCY","Coming soon","01: For rent only||02: For rent or for sale||03: For sale only||04: Rented, but not yet occupied||05: Sold, but not yet occupied||06: Held for occasional use throughout the year||07: Other (specify)||08: Seasonal - summer only||09: Seasonal - winter only||10: Other seasonal (specify)||11: Migratory||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS in ('2' '3')","VACANCY is determined using VACANC1 (Is the unit intended for year-round use, for occupancy only on a seasonal basis, or for use by migrant workers?) and VACANC2 (Is that house for rent only? For rent or for sale? For sale only? Rented, but not yet occupied? Sold, but not yet occupied? Held for occasional use throughout the year?). The type for this variable changed in 2015 from numeric to character. Leading zeros were added to codes 1-9 as a result of the type change.",
"VACMONTHS","6","Occupancy and Tenure","2","Vacancy Characteristics","4","2023 National, 2023 Metro","PUF","Number of months unit has been vacant","HOUSEHOLD","Numeric","JVACMONTHS","Coming soon","0: Less than 1 month||1 : 24: 1 to 24 months||25: More than 2 years||26: Never occupied||N or -6: Not applicable","How many months has that unit been vacant?","MOVAC","None","INTSTATUS = '3'","",
"VACMONTHS","6","Occupancy and Tenure","2","Vacancy Characteristics","4","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of months unit has been vacant","HOUSEHOLD","Numeric","JVACMONTHS","Coming soon","0: Less than 1 month||1 : 24: 1 to 24 months||25: More than 2 years||26: Never occupied||M or -9: Not reported||N or -6: Not applicable","How many months has that unit been vacant?","MOVAC","None","INTSTATUS = '3'","",
"ENTRYSYS","1","Structural","3","Exterior Features","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating entry system required to access multifamily building","HOUSEHOLD","Character","JENTRYSYS","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Does access to your building require a special entry system such as entry codes, key cards, or security guard approval?","ACCESSB","None","INTSTATUS in ('1' '2' '3') and BLD in ('04' '05' '06' '07' '08' '09')","",
"GARAGE","2","Structural","3","Exterior Features","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit has a garage or carport","HOUSEHOLD","Character","JGARAGE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Is a garage or carport included with this unit?","GARAGEQ","None","INTSTATUS in ('1' '2' '3')","",
"LOTSIZE","3","Structural","3","Exterior Features","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Lot size (acres)","HOUSEHOLD","Character","JLOTSIZE","Coming soon","1: Less than 1/8 acre||2: 1/8 up to 1/4 acre||3: 1/4 up to 1/2 acre||4: 1/2 up to 1 acre||5: 1 up to 5 acres||6: 5 up to 10 acres||7: 10 acres or more||N or -6: Not applicable","See User Notes","See User Notes","Collapsed","INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03' '10') and CONDO <> '1' and COOP <> '1'","Internal data users can use LOTSIZE_IUF. Respondents can provide the lot size in square feet (LTSQFTQ), dimensions in feet (LTFT1Q, LTFT2Q), or acres (ACRES). Lot size is not asked at condominiums, cooperatives, or multi-family units, where the lot is typically shared community space.",
"MHANCHOR","5","Structural","3","Exterior Features","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of mobile home anchoring","HOUSEHOLD","Character","JMHANCHOR","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Is your mobile home anchored by tiedowns, bolts, or some other means?","ANCHOR","None","INTSTATUS in ('1' '2' '3') and BLD = '01'","",
"MHWIDE","6","Structural","3","Exterior Features","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of manufactured or mobile home","HOUSEHOLD","Character","JMHWIDE","Coming soon","1: Single-wide unit||2: Double-wide or larger unit||M or -9: Not reported||N or -6: Not applicable","Is the mobile home a single-wide, double-wide, or triple-wide unit?","MHWIDE","Collapsed","INTSTATUS in ('1' '2' '3') and BLD = '01'","",
